デバイスUID,GPS時刻,緯度,経度,向き,速度,高度,エンジン回転数,アクセル踏み込み,燃料使用量,燃料レベル,主電源電圧,エンジン冷却温度,エンジン負荷,エンジン警告灯,累積走行距離
atrack-358683062461653,2016-10-03T06:55:53,35.65888,139.776758,231,29,0,0,14,1,10.2,14.3,83,0,FALSE,16.5
atrack-358683062461653,2016-10-03T06:55:56,35.65888,139.776758,231,33,0,1789,18,1,10.2,14.4,83,10,FALSE,16.5
atrack-358683062461653,2016-10-03T06:55:59,35.65888,139.776758,231,36,0,1850,21,1,10.2,14.4,83,76,FALSE,16.6
atrack-358683062461653,2016-10-03T06:56:02,35.658426,139.776121,225,37,0,1752,24,1,10.2,14.3,83,73,FALSE,16.6
atrack-358683062461653,2016-10-03T06:56:05,35.658238,139.775911,224,40,0,144,21,1,10.2,14.3,83,7,FALSE,16.6
atrack-358683062461653,2016-10-03T06:56:08,35.658036,139.775683,224,43,0,33,19,1,10.2,14.4,83,15,FALSE,16.6
atrack-358683062461653,2016-10-03T06:56:11,35.657841,139.775443,226,43,0,1995,16,1,10.2,14.3,83,20,FALSE,16.7
atrack-358683062461653,2016-10-03T06:56:14,35.657671,139.775135,230,41,0,997,21,1,10.2,14.4,83,7,FALSE,16.7
atrack-358683062461653,2016-10-03T06:56:17,35.657508,139.774798,226,36,0,0,17,1,10.2,14.4,82,0,FALSE,16.7
atrack-358683062461653,2016-10-03T06:56:20,35.657408,139.774661,226,30,0,0,17,1,10.2,14.4,82,0,FALSE,16.8
atrack-358683062461653,2016-10-03T06:56:23,35.657408,139.774661,226,19,0,1375,17,1,10.2,14.4,82,38,FALSE,16.8
atrack-358683062461653,2016-10-03T06:56:26,35.657408,139.774661,226,17,0,927,14,1,10.2,14.4,80,16,FALSE,16.8
atrack-358683062461653,2016-10-03T06:56:29,35.657408,139.774661,226,11,0,0,21,1,10.2,14.4,80,0,FALSE,16.8
atrack-358683062461653,2016-10-03T06:56:32,35.657408,139.774661,226,8,0,0,17,1,10.2,14.4,80,0,FALSE,16.8
